ENC  , JD          , D, TCA                 , ALT    , BPLANE, VINF  , VEL_Iner, LST     , LAT   , LON   , SEP   , PHS   , TRA   , INC   , RP    , RA    , BREV  , SREV  , PER   , TOF   , TIM   , ETRA  , S3LON , J2E_X      , J2E_Y      , J2E_Z      , J2E_DX  , J2E_DY  , J2E_DZ  , J2SC_X     , J2SC_Y     , J2SC_Z     , J2SC_DX , J2SC_DY , J2SC_DZ , CI    , CO    , PI    , PO    , SJB   , PANEL, VEL_surf, SUN_range   , AngVel    , AngAcc
   , (ET), , (ET), (km), (deg), (km/s), (km/s), , (deg), (deg), (deg), (deg), (deg), (deg), (RJ), (RJ), (rev), (rev), (days), (days), (days), TRA (deg), (deg), LON (deg), , , , , , , , , , , , (deg), (deg), (deg), (deg), , , (km/s), (AU), (rad/s), (rad/s^2)
00G00, 2462602.2262, I, 10-Apr-2030 17:25:42,  202.80,   0.75,   8.73,   9.12, 15:27:55,  -0.99, 246.19, 144.42,  51.99, -54.71,   3.42,  11.27, 264.32,  28.35,   1.35, 199.76, 202.86,   0.00, 125.23,  76.79, -80320.2994, 607669.0335, 282538.5351, -13.5771,  -1.2924,  -0.8263, 892977.9991, 526071.6353, 267331.3329, -14.8366,   7.0111,   2.1164,  -6.21,  -5.91,  66.24,  71.25, -16.50, -,   8.44, 5.3958796902, 3.2167E-03, 6.5679E-06
01G01, 2462805.0899, O, 30-Oct-2030 14:09:28,  250.00, -152.05,   8.34,   8.74, 01:05:53,  28.07, 278.75,  24.35, 150.50,  73.45,   1.52,   9.59, 119.97,   9.00,   1.00,  64.39,  64.40, 202.86, -40.60,   4.18, -514702.6107, 386476.3274, 172642.8035,  -8.7220,  -9.6809,  -4.6565, -1014153.9582, 320761.9897, 138020.8114, -12.1586,  -8.0424,  -3.4396, 174.94, 177.57,  78.51,  83.23,  95.30, -,   8.01, 5.3528341873, 3.0343E-03, 5.8342E-06
02G02, 2462869.4927, O, 02-Jan-2031 23:49:28,  879.67, -165.09,   8.39,   8.72, 00:23:05,  14.97, 272.53,  26.66, 166.74,  81.90,   0.72,   8.82,  78.71,   5.00,   1.00,  35.76,  35.77, 267.27,  57.67,  99.83, -655514.7336, -111656.0201, -62042.8424,   2.5284, -12.3129,  -5.7142, -1018048.8030, 311797.1898, 133112.1977, -11.9115,  -7.3941,  -3.4524, 177.66, 178.81,  83.40,  87.66,  90.76, -,   6.56, 5.3333627347, 2.4828E-03, 3.9235E-06
03G03, 2462905.2622, O, 07-Feb-2031 18:17:35, 4038.09, -172.80,   8.36,   8.54, 23:57:18,   7.22, 269.08,  56.10, 175.66,  88.08,   0.52,   8.42,  65.88,   3.82,   0.85,  27.96,  27.35, 303.04, 109.91, 281.14, -536055.5615, -366008.2851, -178975.6208,   8.1918,  -9.9910,  -4.5457, -1017569.0494, 312204.7298, 133211.4292, -11.6398,  -6.9580,  -3.3643, 178.81, 179.11,  87.44,  89.80,  87.73, -,   3.39, 5.3219976294, 1.2800E-03, 1.0524E-06
04E01, 2462932.6112, O, 07-Mar-2031 02:40:06,  630.96, -175.06,   6.30,   6.52, 22:29:00,   4.95, 302.67,  79.69, 157.17,  40.24,   0.44,   8.28,  53.31,   5.76,   0.76,  21.11,  20.48, 330.38,  24.19, 180.68, -218802.7962, 570591.0203, 263359.2505, -13.1031,  -4.0089,  -2.0661, -220122.9016, 568940.7210, 262777.5800, -18.3038,  -0.4212,  -0.4420, 179.54, 179.98,  54.08,  58.14,  33.54, 8,   4.68, 5.3099035919, 2.9762E-03, 5.6464E-06
05E02, 2462953.0877, I, 27-Mar-2031 14:06:14,  278.22,  -1.97,   6.37,   6.64, 12:34:17,   1.97, 239.89,  98.24,   9.54, -45.78,   0.49,   8.07,  42.06,   4.72,   1.41,  15.50,  16.76, 350.86, -45.42, 269.76, 609896.2055, 240486.9226, 121285.2852,  -5.6691,  11.4612,   5.2720, 610026.7279, 242120.4837, 122119.9762, -12.2914,  11.9311,   5.3880,   0.03,  -0.15,  59.34,  64.05, -53.48, 3,   5.60, 5.3043466987, 3.6105E-03, 8.2854E-06
06G04, 2462969.8447, O, 13-Apr-2031 08:16:21, 2603.02,   0.00,   7.75,   7.99, 11:59:20,   0.02,  85.10, 114.33,   2.82,  94.55,   0.46,   8.71,  50.15,   2.50,   0.50,  19.72,  17.85, 367.62, -131.58, 228.75, 146441.5981, -598127.2396, -277347.3598,  13.3084,   2.6912,   1.4509, -1057569.1731, 165889.5263, 61385.1231,  -9.5534,  -8.2035,  -3.9688, 179.17, 179.17,  94.21,  90.71,  92.19, -,   3.99, 5.3017896221, 1.5267E-03, 1.4896E-06
07G05, 2462987.6984, I, 01-May-2031 04:45:41, 3022.49, -177.12,   7.64,   7.87, 23:50:14,   2.85,  86.05, 131.96, 177.56, -87.35,   0.55,   9.25,  60.50,   3.68,   1.27,  25.43,  26.34, 385.47, -109.79, 344.93, 254568.8519, -566178.2342, -260885.4146,  12.6315,   4.7223,   2.3891, 1048723.6233, -190787.4520, -73145.9182,  -5.6547,  11.2557,   5.1559,  -0.86,  -1.03,  90.15,  86.82, -90.75, -,   3.69, 5.2957973960, 1.3915E-03, 1.2383E-06
08E03, 2463014.0408, O, 27-May-2031 12:58:43,   50.00, 136.40,   4.50,   4.92, 22:29:31, -43.40, 334.43, 159.65, 130.17,  13.68,   1.87,   9.18,  52.73,   6.00,   1.00,  21.27,  21.30, 411.81,  58.76, 188.53, 63265.4786, 601951.2048, 282214.1305, -13.7336,   1.3623,   0.4400, 62686.8530, 601508.7854, 280777.2995, -18.1015,   3.3033,   1.6013, -179.35, 164.16,  17.65,  25.98,   2.39, 13,   4.79, 5.2824063918, 3.0534E-03, 5.7831E-06
